1.7|2019-05-08 16:33:32,264|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-|-2040391048|jira.http.request.stats|{"timingEvents.afterWorkActionExecute":21633,"timingEvents.pageBuilderFinish":34753,"requestUserTime":5610,"timingEvents.beforeSecurityFilter":2771,"timingEvents.serverRenderEnd":34799,"timingEvents.webworkViewDispatch":26366,"timingEvents.afterPageBuilderPreBodyDecorator":32575,"activityTimings.dbConnected":265,"activityTimings.dbRead":24,"reqTime":34801,"timingEvents.beforePageBuilderFinish":27301,"timingEvents.beforeWorkActionPrepareDispatcher":4936,"timingEvents.postProcessingFilterChainStarts":26366,"requestCorrelationId":"","requestCpuTime":7567,"requestGCCount":3,"key":"","timingEvents.afterPageBuilderWriteHead":27727,"timingEvents.beforeWorkActionStarts":5288,"timingEvents.afterPageBuilderWriteBody":32575,"timingEvents.preProcessingFilterChainFinished":4426,"timingEventKeys":"","timingEvents.beforePageBuilderFlushHeadEarly":11969,"url":"","requestGCDuration":572,"timingEvents.jiraSecurityFilter":2918,"timingEvents.pageBuilderFlushHeadEarly":21281,"timingEventMillis":"2771,2918,4426,4916,4936,5288,5977,5977,5977,11969,21281,21633,26366,26366,26497,26497,26508,27301,27727,32575,32575,34753,34799"}|1557333212264|SEN-L13363167|a499a8de4339c0ca9963a1bb693443c2|servermetrics||
1.7|2019-05-08 16:33:39,932|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||jiraupgraded|{"setupUpgrade":false}|1557333219932|SEN-L13363167||||
1.7|2019-05-08 16:34:01,267|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.hsql.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241267|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,268|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.endOfLife.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241268|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,268|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.gadgetFeedUrl.fail.done.scheduled|{"severity":2,"pluginVersion":"1.15.1","healthy":false,"failureReason":""}|1557333241268|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,268|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.collation.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241268|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,270|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.databaseConfig.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241270|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,270|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.openFiles.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241270|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,271|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.storageIndexSnapshot.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241271|SEN-L13363167||troubleshooting.healthcheck||
1.7|2019-05-08 16:34:01,271|4b9c9c32ff878b9988ac06111ce33379|jira|8.1.0|-||healthchecks.check.attachment.pass.done.scheduled|{"severity":0,"pluginVersion":"1.15.1","healthy":true,"failureReason":""}|1557333241271|SEN-L13363167||troubleshooting.healthcheck||
